ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
2,sUSDS,,,,,,6.775883427292598e-20,6.7931088594102514e-15,1.3999798858109004e-14,0.000979494011254312,6.615362270430045e-13,6.401432202126199e-15,3.25289129528357e-14,3.473587409776579e-11,5.044270667952489e-20,4.864503537380469e-18,1.3221629197899138e-15,6.609852417539209e-16,4.011132847252424e-20,6.243080047028427e-16,5.479422942743827e-16,5.326649569960683e-18,6.069888527629788e-19,0.000979494046714612
10,sUSDC,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,,1.5025358710190683e-7
99,sUSDS,6031.644840299676,247657.08552496016,182546.51916893345,283058.96458263934,540698.4677580515,1134757.2840675318,1528867.2751341402,1287448.5847784262,1017445.940535542,1009999.854361136,913831.8681123073,796722.8318284634,785508.927532042,906559.0376608871,1028867.9723544505,1370897.6449879399,1259358.7707206141,1372644.197143518,1536126.2315843368,1534420.6532180419,1777928.2408259632,1191163.7467139033,21712541.743434135
100,sUSDS,,,,,,,,,,,,,,,,,,,,,,0.0008680998015307769,0.0008680998015307769
127,sUSDC,,,,,,,0.9410251834931753,22.89818493704385,468.7250016409917,6798.184925744378,16833.567599760434,13943.59941862608,5796.297326261029,3688.2178489076405,2803.2018028042353,7140.769821385598,3037.146912383207,2639.1782757981487,2167.4385743537136,1447.5003073206612,730.9256711225876,1879.7473356124476,69398.34003184165
128,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
128,spPYUSD,,,,,,,,,,,,,,,,7.1520391714906655,37.63970015068172,28.821856420721087,66.14825288914628,156.43827860146808,147.093285864086,117.5917340408436,560.8851471384374
128,spUSDC,,,,,,,,,,,,,,7607.236501967835,52909.03030412793,140570.55403381604,46895.92076711907,42835.73091892552,76094.73351162898,70591.15676383444,109959.02858041927,39209.9446400185,586673.3360218577
128,spUSDT,,,,,,,,,,,,,,6671.499850103086,35412.781738718,60391.37925369182,26236.946469230123,36355.432102405764,58753.237470020336,116887.73721861333,171768.11380974218,113179.15328575726,625656.2811982819
128,sUSDC,,,,,,,7424.855810208161,37105.54683724062,136133.980067049,199962.44616755313,152592.63666335994,186661.1639010575,239631.51730398234,415476.7318264484,666301.4328489664,689296.2127458816,129118.98170002406,57334.98989505067,52008.19267010093,36884.44254709435,33895.00872855295,27206.50859367437,3067034.6483062445
128,sUSDS,,176.86743261267304,11688.06736030732,14071.077249174174,65038.308162524896,149245.26085539232,212804.51793519975,113436.64603296574,224950.29363041432,185920.254957476,112586.03780219729,114923.46967671474,130516.82288628149,176799.46850487756,196723.43382460583,220952.2734971564,359509.23414734297,487630.3667749483,771470.520022308,795004.7506819203,744744.2761820001,835877.9208913186,5924069.868507742
128,USDS-CLE,,,6.722661370795936,628.8560548208873,1401.7409901227338,1215.0861787721126,1841.8882016263642,3236.737656454107,4295.821187207608,5271.620563464081,4869.442311573244,4128.2147658197455,5867.684963656161,7081.253195360273,5762.127213468534,8552.412126939216,6597.992371524791,4966.638171624745,3409.0875138385495,2642.9321515761326,2314.200304585357,1718.4763552910945,75808.93493909652
128,USDS-SKY,,,369.46396759542154,40671.55539960491,36788.27818245504,51210.9171091269,66570.78717984898,109613.55538433875,61050.37391833408,66019.36284585253,56042.52493422946,44829.794374316545,43343.62328143249,24647.023245331457,25541.549726128836,38222.924405792386,24672.195922511175,3387.1205025728855,2561.8841931601246,1853.8637651654742,221.3950610083518,126.76537420969052,697744.9587730154
128,USDS-SPK,,,,,,,,,,399.9568656996654,271238.73652511666,609129.4596097498,548848.4853684689,421245.2309106294,330450.44027419447,286198.6848417126,235384.72552140642,206409.470236647,236624.40877949487,299366.49013705325,400011.94627833035,201672.09552102044,4046980.1308695236
129,sUSDC,,,,,,,,,,,,,,,,0.6415203110271499,1.0327215150770224,0.23769616378860295,0.15739717274275605,0.08544337531014247,0.23705044050475688,11.468988336511611,13.860817314962041
129,sUSDS,,,,,,,,,,,,,,,,0.00044445962272418956,0.00043927062451319096,0.28506394519559425,0.5123431150708775,0.6812313854930837,0.8954510049509298,0.6664703876884369,3.0414435686461596
130,spUSDC,,,,,,,,,,,,,,0.00021202415400666352,0.3292901557550843,1544.88524665842,2533.8815463927754,801.173241212727,4314.4935069948915,4674.3305176641015,3911.6745866197566,2920.2193384598763,20700.987486182457
131,spUSDT,,,,,,,,,,,,,,0.0009179100626074358,12.839958648873223,319.28085341087734,284.56504668520626,263.8309603234991,6315.989212986159,4736.493484507669,4041.5689191030606,2889.1363174731023,18863.70567104851
132,spPYUSD,,,,,,,,,,,,,,,,0.00026920862743169357,0.0017896274734932839,0.00015628070971130512,0.011998198875825343,0.008102471802866553,0.00044862620908329434,0.2687363367320215,0.291500750430433
170,sUSDS,,,,,,,,,8.277904076178812e-7,0.000010444326487673077,0.000016045849456233123,0.00001610728044166441,0.000015648235881947994,0.000016232629593351083,0.00001576772610911094,0.000016351254308121924,0.000013678634852662328,0.000012394119935495575,0.000013764867343096588,0.000013361925092727377,0.00001384900887240853,0.000011199020079868633,0.00018567266886197943
171,sUSDS,,,,,,0.000010127386167871387,0.00011751553643597268,0.00015647984748736458,0.0003099605020617316,0.0004217029625140788,0.0004724716207483118,0.0004926597055113018,0.0004786192956012586,0.0010770610762785506,0.0024241640745702414,0.002530963059122592,0.0021172760729985915,0.0019184497479389046,0.002130623751411145,0.002068253493160239,0.0021436477733993513,0.0017334637222387208,0.020603439627646228
182,sUSDC,,,,,,,,,16.92094337469062,45.70244896773094,2.0960220623145305,0.14549202342417478,0.04012715601672017,0.04027373878662088,0.029148739635765628,0.02891436608078651,0.009689762206359205,0.00877982899797003,0.009750848146708605,0.009465409238503789,0.009810452881251694,0.00793323662120281,65.05879996677213
183,sUSDS,,,,,,,,,0.005578306001781178,0.44474255753644854,7044.161386257442,18451.03585984429,17635.191003088406,17336.562730645423,20843.092529849902,24105.19436992559,21333.38411829221,13278.929767896732,11113.764428103528,9912.967924836805,11847.596192241093,7416.721677057999,180319.05230890296
184,stUSDS,,,,,,,,,,,,,,,,,,,,,,1.1562736284223147e-9,1.1562736284223147e-9
184,sUSDS,,,,,,,,,,,,,,,,,,,,,,0.00013928765690309066,0.00013928765690309066
186,spETH,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0
186,spUSDC,,,,,,,,,,,,,,,0.4395303322862366,51.43989551740268,16.662048248800236,37.41974152657076,70.26378952665561,325.981422021797,700.1053095804523,1151.999162341995,2354.31089909596
