ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
197,,,,,,,,,,,,,,16159.545842414655,17563.940935724215,17503.738662265496,6824.987655591931,6314.149706951172,5576.068892074834,8508.93072191686,10729.87624781659,89181.23866475574
198,,,,,,,,,,,,,,0.056807616619053945,1.6830507505727015,0.44296549887454384,0.0186918823829839,0.016948970005950047,0.019099349232378257,0.018590228973036117,0.019356316067540444,2.2755106127281883
200,,,,,,,,,,,,,,,,,2.104838623744942,0.7263402966706678,5.878727733110546,32.59537212877555,91.59580138290231,132.901080165204
202,,,,,,,,,,,,,,,,50.73129422167482,30.386040649378558,34.09909643126393,43.571521196256846,40.214069976843206,33.62557704595796,232.62759952137532
204,,,,,,,,,,,,,,,,,,4.011879997199534,37.596267198794386,78.15386617074569,75.98416771565579,195.74618108239545
205,,,,,,,,,,,,,,,,,0.0011264375004834777,0.033210118441713274,0.19762198116521962,0.20575776647335367,0.21277114263107483,0.6504874462118448
206,,,,,,,,,,,,,,,,,,,,,0.0005301148553597792,0.0005301148553597792
214,,,,,,,,,,,,,,,,,,,,,0.000012931678676815002,0.000012931678676815002
216,,,,,,,,,,,,,,,,,,,216.60757545032504,377.4494563617,471.8900768800071,1065.947108692032
219,,,,,,,,,,,,,,,,,,,,14.263484409268683,,14.263484409268683
223,,,,,,,,,,,,,,,,,,,,,0.0012568178975753972,0.0012568178975753972
224,,,,,,,,,,,,,,,,,,,,,4582.17153538815,4582.17153538815
303,,0.0010247124488725707,1.6681789862046594,41.47123960160111,0.00207976082372259,0.0018952912675808341,0.0021103919572587064,0.0020507540836590715,0.0021269220151416772,0.0020658966384577275,0.002142626128978585,0.0021508290997762996,0.0020895321933304214,0.002167567154091811,0.002105487900914339,0.00218340729288394,0.0018265284442567464,0.0016550052580214972,0.00183804319613777,0.00178423771837367,0.0018492787394603788,43.17456486016669
555,,,,,,,,,,,,,,,,,0.004045140061459297,0.0038442402801141984,0.004269400146576983,0.004144420975719957,0.004295498026327151,0.020598699490197585
1001,601.9956704194109,23665.920839333066,22202.24129172719,15735.355956831814,14903.49832171031,12301.406260125319,9930.992115732992,5867.0646125028525,6458.246457987758,4328.797951944844,4058.9508454095103,4896.843774810841,4394.144888907975,3245.2864892760113,5020.717560399587,5243.329696566341,2254.8042478029097,1601.438018821313,1655.485190324151,1433.9439655173821,912.5698873108521,150713.03404346242
1002,,807.7497044239032,1274.1166454612228,1626.3987777487587,2497.343661948598,4109.58705378323,5339.654503331897,5721.83865057631,2993.7561204402105,2727.608523409538,2883.6184843929327,4516.939899632683,4506.6044474299515,4572.314174590904,3049.8992859244986,2398.798801655435,1969.5086009973409,2970.509575623731,29195.527856307144,28955.218625819376,33175.15316187183,145292.14655536946
1004,,,,3.8208754514062117e-16,,,1.0723451194500608e-16,13.932318091609295,46.223493733630356,3.00949417364363,1.1500036523033745,0.23041295295504344,0.22108232884953802,0.025963250904471682,0.015420401989791782,0.01599107629203983,0.01337732808529223,0.012121107880321948,0.01346166107999465,0.013067594657893127,0.013543949176659213,64.88975130305768
1007,,899.04910480087,2845.034683217761,2651.2709262171447,3270.1993101177177,2063.6739510533725,3835.8301775281043,7167.6872837096225,7788.974460549155,17448.864226253358,21831.55850405262,21434.927531219557,13029.718602506162,12194.459878238076,4714.043600065007,8270.66814224848,10082.509231202832,13745.06290683427,15859.42842851465,14112.16519209712,10762.388445120381,194007.51458554622
1015,,,,,12.884360501975054,218.05399156575862,184.59755617598375,7.563965869738378,0.00009035163613376628,123.649737168996,0.00009101874680782693,0.0000913672089646219,0.00008876331669781747,0.00009207824142483251,0.00008944111507294168,0.00009275113043828301,0.00007759091880595674,0.00007030461474736664,0.00007808006540593474,0.00007579440899054346,0.00007855735122780437,546.7506273812065
1016,,,,,,,,,0.0034430531426077565,0.00006020561513788106,76.64164323675116,143.36146408206565,,,,179.02163663419003,1201.0547443054502,167.53840482715015,8.978125634163069,0.5899580312151818,,1777.189480009743
1017,,,,,,,1.9476462936628682,33.57077574159279,72.85736390755979,81.60194621448943,110.23526031695214,27.01731934262079,27.22652302552535,44.372777007044924,186.44929447776747,501.26524165548494,536.0788683024492,350.1793924670333,369.56330597230857,214.56147741888617,8.703884150079702,2565.631076293458
2000,,,,,,,,,,,,,,,,,,,,0.000002234066724207793,0.00000424958335704858,0.000006483650081256374
2001,,,,,,,,,,,,,,,,,,0.00010802955292476467,0.0016246835496007122,82.24301693728245,8467.99352994732,8550.238279597705
2002,,,,,,,,,,,,,,,,,,,174574.2755934838,116737.37465030173,1.707499286978157e-8,291311.6502438026
2003,,,,,,,,,,,,,,,,,,,,6.654607696408873e-15,1.3723607554654149e-8,1.3723614209261846e-8
2005,,,,,,,,,,,,,,,,,,,17144.96836066166,8259.876311996091,,25404.844672657753
2008,,,,,,,,,,,,,,,,,,,,,12035.781376578729,12035.781376578729
2222,,,,,,,,,,,,,,,,,,,,10.677765476597337,14.74653190454919,25.424297381146527
3000,,,,,,,,,,,,,,,,,,,,0.00014260407450345815,0.002026059649954529,0.0021686637244579875
3001,,,,,,,,,,,,,,,,,,,,,2.6596740899378465e-8,2.6596740899378465e-8
3333,,,,,,,0.10689030195678363,0.6063695725124567,0.5701363158042048,0.5146480797679932,0.5653649589821247,0.7248876671124271,0.6695846107722064,1.0570629743021607,0.9824428509137807,0.9023304203030074,0.7135887053082367,0.41023307431709266,0.4842943976026404,0.4880023491696981,0.484907511094286,9.280743789919102
4001,,,,,,,,,,,,,,,12200.287654194992,34070.235427067135,28435.58551280574,25260.478584246357,29059.501666005646,23206.767740808675,22600.09633102555,174832.9529161541
4011,,,,,,,,,,,,,,,,,,,,,0.007311948886059997,0.007311948886059997
4012,,,,,,,,,,,,,,,,,,,,,0.00010305554076857984,0.00010305554076857984
9001,,17845.470418758843,32496.702241141193,9685.45271933533,69461.46968551146,156919.9006692738,161850.5204630886,144005.82231683523,112534.09673117401,31437.636008360754,12274.173066464622,7791.5309126247885,10235.68026700184,15695.485805060795,16541.72309462026,24660.408532270038,17637.13469130975,14381.456448326928,19582.080606333413,15706.362684071682,9626.615072541761,900369.7224341051
9998,,,,,,,,,0.00037847177556604174,0.0024646516588322336,0.006476266916977258,0.002487239527415239,3.791455669117523,0.0010495162083291386,0.0017952852738089635,0.0020114294506267012,0.0008878885804628702,0.0018056617723566936,0.0009192013180997574,0.0006914550557541307,0.0002558217756160383,3.8126785584313683
10000,,,0.0002168264360681706,0.042212843887165966,1.2189676580740632,60.32258043815074,843.763104212298,225.40529393071412,108.12750147863012,98.38544559695715,111.80741025286409,139.4487801812544,100.56134178443563,53.73134968127825,38.356329718154484,38.81258870364706,373.74112730504976,547.4554028501722,1161.680805450606,1570.2605074363612,1039.265894427266,6512.386860776238
10001,,,,,,,2043.1521169055475,6732.260649331776,11662.588928330159,43973.92180907409,37718.85556218474,48771.91651311513,66723.57492201803,70944.55290124427,70839.36931430074,92454.62515868971,77410.0828253856,64106.052467782196,68681.04844897924,62968.005458723834,59304.61369762949,784334.6207736946
13425,,0.1758201957740659,0.1761224427674841,0.1833913609481262,0.185223327709338,0.16879448422892152,0.18795133393983976,0.1826399898277502,0.10053245235369478,0.00018890724425342067,0.00019592345035852624,0.00019667353658222244,0.00019106849833277982,0.00019820407768289817,370.4029071189835,1029.0976121782262,858.0071164334407,774.9741701607505,858.010166875406,641.1625123631208,9.669400806708543,4542.685332300992
