ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
1 (USDS-SPK),,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,9177.875271574363,299528.80220941006
2,,,,,,6.775883427292598e-20,1.748481085068351e-14,1.839413266946305e-14,0.0009794940112512044,1.6094498826654752e-12,5.5852868105725776e-15,3.168060564765516e-14,3.473630068652419e-11,5.044270667952489e-20,4.864503537380469e-18,1.510199168725796e-16,1.4896056696028504e-16,4.011132847252424e-20,7.799497394203697e-16,6.833373429511374e-16,5.326649569960683e-18,1.3342722839900838e-17,0.0009794940476718869
10,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,,1.5025358710190683e-7
99,6031.644840299675,247657.08552496013,182546.51916893348,283058.9645826394,540698.4677580514,1134757.2840675318,1528867.2750840979,1287448.584778426,1017445.9405354509,1009999.8331909282,913831.8681123072,796722.8688324742,785508.9275318767,906559.0376608871,1028867.9723544505,1370897.6449879396,1259358.7707206141,1372644.1971435174,1536126.2315843368,1534420.6532175913,1777928.2408259604,1414900.1641750576,21936278.176678333
100,,,,,,,,,,,,,,,,,,,,,,0.0010533279638709865,0.0010533279638709865
127,,,,,,,0.9410251834931755,22.898184937043847,468.72500164099165,6798.184925744378,16833.567599760434,13943.59941862608,5796.297326261029,3688.2178489076405,2803.2018028042357,7140.769821385601,7581.550624617085,6588.1118966525255,5410.520383525397,3613.3572644627193,1824.5906893255083,5924.8669766959865,88439.40079053014
128,,176.86743261267304,12064.253989273539,55371.48870359997,103228.32733510266,201671.26414329137,288642.0491261001,263392.4859112706,426430.46880489925,457573.63485724916,597329.3335403372,959672.0626512849,968208.1336765469,1059528.4440347184,1313100.796451944,1444191.5929441617,1021651.0013250804,924737.4204671633,1278806.7146640029,1378577.0409732943,1513777.2797984951,1499156.694515211,15767287.355345635
129,,,,,,,,,,,,,,,,0.6419647706498742,2.5783950539830127,0.8784186794341433,0.9052495722644244,0.8945214548047751,1.4871938369973223,41.84934302795862,49.23508639609217
130,,,,,,,,,,,,,,0.0009179100626074358,12.839958648873232,319.2808534108772,284.5650466852063,263.8309603234991,6315.989212986159,4736.493484507669,4041.5689191030606,3451.9035246078975,19426.472878183304
131,,,,,,,,,,,,,,0.00021202415400666357,0.32929015575508425,1544.8852466584199,2533.881546392776,801.1732412127271,4314.493506994892,4674.3305176641,3911.6745866253736,3547.804301672228,21328.572449400428
132,,,,,,,,,,,,,,,,0.0002692086274316935,0.0017896274734932843,0.0001562807097113051,0.011998198875825343,0.008102471802866551,0.00044862620908329423,0.26880055179836504,0.2915649654967765
170,,,,,,,,,8.277904076178812e-7,0.000010444326487678806,0.00001604584945623312,0.000016107280441664418,0.000015648235815133716,0.000016232629520848732,0.00001576772603868507,0.000016351254330525207,0.00001367863487269397,0.000012394119953646112,0.000013764867344284045,0.00001336192509272738,0.000013849008872408529,0.000013442117487662471,0.00018791576612180947
171,,,,,,0.000010127386167871385,0.00011751553648708238,0.00015647984757435326,0.00030996050214913214,0.0004217029693378033,0.00047247162493040964,0.0004926597117846116,0.00047861929556732046,0.0010770610762431561,0.0024241640745365873,0.0025309630623442524,0.002117276075212843,0.0019184497504329443,0.0021306237483398696,0.0020682534901382225,0.0021436477705512984,0.0020806662414909684,0.02095064216328872
182,,,,,,,,,16.920943374690616,45.70244896773094,2.0960220623145305,0.14549202342417483,0.040127156016720185,0.04027373878662089,0.029148739635765617,0.028914366080786486,0.024188300674058572,0.021916858138205257,0.024340787913751525,0.023628254211820028,0.024489577658021983,0.023770060630421978,65.14570426790642
183,,,,,,,,,0.005578306001781178,0.4447425575364485,7044.16138625744,18451.035859844287,17635.191003088406,17336.56273064542,20843.092529849902,24105.194369925593,21333.384118292208,13278.92976789673,11113.764428103525,9912.967924836801,11847.596192241095,8767.664182055743,181669.99481390067
184,,,,,,,,,,,,,,,,,,,,,,0.0002076933585548023,0.0002076933585548023
186,,,,,,,,,,,0.000032683615018306355,0.018526005186561674,29.906508057208562,24.866286183870017,450.5143988596827,1019.021083272685,978.2340294537964,1266.9799900515284,2578.9766726581443,2215.096986597613,1539.5756250787663,2221.6149588331054,12324.805097735207
188,,,,,,,,,,,,6283.602030298763,16471.788600939246,16943.10754592239,7109.7859156257955,3055.5480671507553,1186.5150374351065,270.21371570191064,9419.732164700676,18355.45847702496,12248.541403023311,50842.363548585476,142186.65650640838
190,,,,,,,,,,,,0.00015672603080986376,0.00855641373014984,0.00985041884599457,0.008712406257693567,21454.29134188192,10486.781288093147,5343.599289667957,4238.445171347916,2928.6432937078207,2741.770901256399,1418.4643363673613,48612.02289828738
191,,,,,,,,,,,,,,,,5056.971946756528,3403.2782772287674,5540.801423222602,8706.614996059436,13631.82466188469,25505.93963912788,26001.77324773009,87847.20419201
192,,,,,,,,,,,,,,,0.00024339629446954068,51102.27687530671,56666.756972408635,41751.195888366565,48284.10945030169,37688.169057914354,26401.202999643716,19027.372633778145,280921.0841211161
194,,,,,,,,,,,,,,19.890875624916085,37.77071086359021,19.313430515827815,4.959356411528601,4.254706242184498,4.699019694846309,4.297611310458415,4.379722019160077,4.129285572709232,103.69471825522123
195,,,,,,,,,,,,,956.1961056846185,3175.4591949520964,8105.614837528925,7915.428521960422,3879.9434461549044,1671.2194229595607,7613.537032149751,4968.323671764033,3082.9143029581705,835.1288408728649,42203.76537698536
196,,,,,,,,,,,,,0.005651730761684866,0.02060227612901639,0.015940483954577554,0.02264215047240636,0.03179218474369862,0.2233904436225465,0.25410098302162665,0.24610223826506372,0.2545845933202368,0.24635204589610157,1.321159130186959
197,,,,,,,,,,,,,,16159.545842414653,17563.940935724222,17503.738662265496,6824.987655591931,6314.149706951172,5576.0688920748335,8508.930721916859,10729.87624781659,8925.19938989209,98106.43805464785
198,,,,,,,,,,,,,,0.05680761661905394,1.683050750572701,0.4429654988745439,0.018691882382983898,0.016948970005950043,0.01909934923237825,0.018590228973036117,0.01935631606756334,0.0103806534931956,2.2858912662214066
200,,,,,,,,,,,,,,,,,2.104838623744942,0.7263402966706678,5.878727733110546,32.59537212877555,91.59580138290244,1728.2523709333086,1861.1534510985125
202,,,,,,,,,,,,,,,,50.731294221674816,30.386040649378558,34.09909643126393,43.57152119625684,40.21406997684321,33.6255770459582,31.170023735561223,263.7976232569368
204,,,,,,,,,,,,,,,,,,4.011879997199534,37.5962671987944,78.15386617074569,75.98416771565577,71.03941289437701,266.7855939767725
205,,,,,,,,,,,,,,,,,0.001126437500483478,0.03321011844171327,0.19762198116521962,0.20575776647335367,0.2127711426313595,0.20296705624271033,0.8534545024548399
206,,,,,,,,,,,,,,,,,,,,,0.0005301148553597792,0.0008226657739649489,0.0013527806293247282
214,,,,,,,,,,,,,,,,,,,,,0.000012931678676815002,0.149031504057645,0.1490444357363218
216,,,,,,,,,,,,,,,,,,,216.60757545032504,377.44945636169996,471.8900768800071,372.3924700452992,1438.3395787373313
219,,,,,,,,,,,,,,,,,,,,14.263484409268681,,,14.263484409268681
223,,,,,,,,,,,,,,,,,,,,,0.00125681789757562,0.0020770855057867434,0.0033339034033623635
224,,,,,,,,,,,,,,,,,,,,,4582.17153538815,12654.034063288223,17236.205598676373
303,,0.0010247124488725705,1.6681789862046594,41.47123960160111,0.00207976082372259,0.0018952912675808343,0.0021103919572587064,0.002050754083659071,0.0021269220151416777,0.0020658966384577275,0.0021426261289785855,0.002150829099776299,0.002089532193330421,0.0021675671540918105,0.002105487900914339,0.0021834072928839402,0.0018265284442567466,0.001655005258021497,0.00183804319613777,0.0017842377183736695,0.0018492787394603788,0.001794945930605892,43.176359806097295
555,,,,,,,,,,,,,,,,,0.004045140061459298,0.0038442402801141993,0.004269400146576982,0.0041444209757199564,0.0042954980263271506,0.004169293972703866,0.024767993462901452
999,,,,,,,,,,,,,,,,,,,,,,0.00011365492530379121,0.00011365492530379121
1001,601.9956704194109,23665.920839333066,22202.24129172719,15735.355956831818,14903.498321710313,12301.40626012532,9930.992115732992,5867.0646125028525,6458.246457987759,4328.7979519448445,4058.9508454095103,4896.843774810841,4394.144888907976,3245.2864892760113,5020.717560399587,5243.329696566341,2254.8042478029097,1601.4380188213133,1655.485190324151,1433.943965517382,912.5698873108523,809.8249599115395,151522.859003374
1002,,807.7497044239034,1274.1166454612228,1626.398777748759,2497.343661948598,4109.587053783231,5339.654503331899,5721.838650576309,2993.7561204402095,2727.6085234095385,2883.6184843929327,4516.939899632684,4506.604447429952,4572.314174590905,3049.899285924498,2398.7988016554345,1969.5086009973402,2970.5095756237306,29195.52785630714,28955.218625819365,33175.15316187183,38593.103849998995,183885.25040536842
1004,,,,3.820875451406212e-16,,,1.0723451194500608e-16,13.932318091609297,46.223493733630356,3.00949417364363,1.1500036523033748,0.23041295295504347,0.22108232884953802,0.025963250904471682,0.015420401989791782,0.01599107629203983,0.01337732808529223,0.012121107880321948,0.01346166108014464,0.013067594658046779,0.01354394917676798,0.013146020629743849,64.90289732368785
