ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
206,sUSDC,,,,,,,,,,,,,,,,,,,,,0.0005301148553597792,0.0005301148553597792
214,spETH,,,,,,,,,,,,,,,,,,,,,0,0
214,spUSDC,,,,,,,,,,,,,,,,,,,,,0.000006709176351375614,0.000006709176351375614
214,spUSDT,,,,,,,,,,,,,,,,,,,,,0.000006222502325439388,0.000006222502325439388
216,sUSDC,,,,,,,,,,,,,,,,,,,216.60757545032502,377.4494563617,471.8900768800071,1065.947108692032
219,sUSDS,,,,,,,,,,,,,,,,,,,,14.263484409268681,,14.263484409268681
223,spUSDC,,,,,,,,,,,,,,,,,,,,,0.0011179653773253308,0.0011179653773253308
223,spUSDT,,,,,,,,,,,,,,,,,,,,,0.00013885252024982623,0.00013885252024982623
224,sUSDS,,,,,,,,,,,,,,,,,,,,,4185.174239133086,4185.174239133086
224,USDS-SPK,,,,,,,,,,,,,,,,,,,,,396.9972962550637,396.9972962550637
303,sUSDS,,0.0010247124488725707,0.001977572486015059,0.0020591907759459458,0.0020797608237225896,0.0018952912675808341,0.002110391957258706,0.002050754083659071,0.0021269220151416772,0.002065896638457727,0.002142626128978585,0.0021508290997762996,0.0020895321933304214,0.0021675671540918105,0.0021054879009143393,0.00218340729288394,0.001826528444256747,0.0016550052580214972,0.0018380431961377704,0.0017842377183736695,0.0018492787394603788,0.03918303562287964
303,USDS-SKY,,,1.6662014137186443,41.46918041082517,,,,,,,,,,,,,,,,,,43.13538182454381
555,sUSDC,,,,,,,,,,,,,,,,,0.004045140061459296,0.0038442402801141984,0.004269400146576983,0.004144420975719957,0.0042954980263271506,0.020598699490197585
1001,sUSDS,89.14237483935457,2900.5773983924987,7092.596771291364,9406.192104460113,11674.429566501198,10499.250189251828,8184.011358195992,3487.4605007508417,3756.2283852671617,2088.221455305303,1914.746157554839,1739.457721345113,1524.5389970571916,1431.5429953242858,1298.4563456772134,1177.0697306185568,880.7104261224565,751.2827655006788,799.4060955999963,767.1871435232853,791.6348667873195,72254.14334936663
1001,USDS-CLE,6.653958418347043,163.56719880239174,214.35688843687927,278.31242593357234,309.46883586085136,181.8525175342593,353.8213431549371,357.746424150699,356.0086615278406,322.6519235871934,333.03174127949165,369.00464447024416,394.573531868778,460.54510384416005,237.06429642658537,110.78913022515485,83.08763931095572,40.056110683604395,44.25181399339283,42.28051345880464,43.59855580557125,4702.723258773713
1001,USDS-SKY,506.1993371617093,20601.776242138178,14895.287631998946,6050.85142643813,2919.5999193482617,1620.3035533392324,1393.1594143820616,2021.8576876013112,2346.0094111927565,1917.9245730523478,1811.172946575179,2788.381408995484,2475.0323599820067,1353.198390107566,3485.196918295788,3955.47083572263,1291.0061823694975,810.0991426370301,811.8272807307619,624.4763085352921,77.33646471796169,73756.16743532213
1002,sUSDS,,807.5958288356111,1255.4545788614723,1165.823350426681,2491.3924521446315,3797.176526940373,5030.03709521524,5714.5556865795,2990.1935044970496,2725.289330270801,2873.7567667098397,4481.316143783303,4504.391127187305,4570.010424431709,3047.4371568983283,2396.50827009482,1967.5988770266656,2968.784663650218,29193.3706061923,28953.37050584775,33173.24343790115,144107.30633349475
1002,USDS-CLE,,0.1400792750918087,4.4270022060427765,3.4252046956058444,0.6878976672831422,0.1693945437369074,,,,,,0.20138324908396865,0.7376665365948628,0.7751464435710199,0.9831521170084103,0.7622554211480249,0.6355282217341331,0.5740254905985719,0.8823900578933894,0.6150273113556127,0.6355282217341331,15.651681458482607
1002,USDS-SKY,,0.013796313200324036,14.23506439370786,457.15022262647204,5.263312136682425,312.24113229912103,309.61740811665913,7.28296399681033,3.562615943160674,2.319193138737993,9.861717683093907,35.42237260029618,1.4756537060531647,1.5286037156247416,1.4789769091618155,1.5282761394672093,1.274195748941338,1.150886482914757,1.274860056953132,1.233092660265811,1.274195748941338,1169.1885404162654
1004,sUSDC,,,,,,,,13.932318091609293,46.22349373363035,3.0094941736435206,1.150003652303215,0.2304129529549535,0.22108232884951678,0.025963250904445456,0.015420401989291524,0.01599107629139101,0.013377328085190165,0.012121107880297716,0.013461661079957568,0.01306759465789116,0.013543949176655162,64.88975130305595
1004,sUSDS,,,,3.8208754514062117e-16,,,1.0723451194500608e-16,1.2491022632006098e-16,2.550339284409175e-16,1.0823709462558561e-13,1.5950589015994496e-13,8.994190305453997e-14,2.129138013375967e-14,2.6226288310034928e-14,5.002602202399331e-13,6.488231129470373e-13,1.0206206994721269e-13,2.423187388107661e-14,1.8707191838908806e-13,1.5561405430258758e-13,1.1281602005267613e-13,2.136951092255323e-12
1007,sUSDS,,,,,,,,,,438.91654901332527,641.5532221354058,188.15716567980652,750.8835034204918,2441.8810718844843,862.2541941247571,1879.538861816323,1592.6490640759555,8119.972825344362,11131.847598719756,8884.39585964316,9316.851042811799,46248.900958669634
1007,USDS-SKY,,899.04910480087,2845.034683217761,2651.2709262171447,3270.1993101177177,2063.6739510533725,3835.8301775281043,7167.6872837096225,7788.974460549155,17009.947677240034,11459.498213082446,5825.295281274688,3092.011012027047,1258.2885492999574,1106.3916103555503,3550.059439215305,4114.426764723389,2601.3270434133606,98.97080055441654,2.736057282538436,0.4952005891537389,80641.16754625166
