ref_code,token,blockchain,source,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
1,USDS-SKY,ethereum,farms,,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,821336.5789299943
1,USDS-SPK,ethereum,farms,,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,290350.9269378357
2,sUSDS,arbitrum,psm3_arbitrum,,,,,,,5.584834287816195e-20,1.3426763155814007e-19,0.0008315622085926169,,5.266794807864408e-15,3.148645520680187e-14,3.0502274149517323e-15,,,1.316918434992892e-22,,1.0013989983283447e-20,,,,0.0008315622086324206
2,sUSDS,base,psm3_base,,,,,,6.775883427292598e-20,1.748475500234063e-14,1.8393998401831493e-14,0.0001479318026585876,1.6094498826654752e-12,3.184920027081696e-16,1.9415044085329756e-16,3.4733250459109236e-11,5.044270667952489e-20,4.864503537380469e-18,1.510197851807361e-16,1.4896056696028504e-16,3.009733848924079e-20,7.799497394203697e-16,6.833373429511374e-16,5.326649569960683e-18,0.00014793183903945295
10,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,1.5025358710190683e-7
99,sUSDS,arbitrum,psm3_arbitrum,,,,,,7234.488812469901,46258.951450977016,41395.63150163774,41805.004768670085,39093.007690751365,42547.19007589942,38165.94376366608,31613.01519578792,22463.585364207804,20535.772808620284,12210.935864386025,42902.15295499345,88879.51688819335,91834.41656525395,89114.02845212899,93529.32404212537,749582.9661997688
99,sUSDS,base,psm3_base,,,2149.5018250069875,49083.48438506656,45595.58933420587,34828.860986378466,89369.02050370644,91184.72108566969,93396.90499546655,91039.03290288699,97160.70358446246,103751.3019916007,100708.2433469516,105972.84763992953,102018.51757602024,105130.93198010945,87415.68309872597,79163.16558313816,86471.40363954655,82506.41524327177,87423.6487283263,1534369.97843047
99,sUSDS,ethereum,susds_susdc,6031.644840299675,247657.08552496016,180397.01734392648,233975.4801975728,495102.8784238455,1092693.9342686832,1393239.3032255243,1154868.2321911184,882244.0307713144,815527.5636697641,697448.7995118286,585556.869525362,598909.2542183503,714365.5156952889,844908.6008224626,1200238.1377016257,1057346.967199581,1103736.6752024808,1237761.6607493735,1243788.5919942576,1470359.2817711793,17256157.524848796
99,sUSDS,optimism,psm3_optimism,,,,,,,,,,24619.915165825754,40794.43810270234,34379.54624641186,19613.04381162408,24873.747226196683,16777.760665053574,4036.3321108527016,29421.932201828036,62011.396440588855,76513.30019113685,76625.28551663244,82614.2096509406,492280.9073297938
99,sUSDS,unichain,psm3_unichain,,,,,,,,,,39720.31376170009,35880.73683741422,34869.188803428304,34665.37095932824,38883.341735264155,44627.32048229379,49281.30733096642,42272.035265485596,38853.44302911627,43545.45043797238,42386.33202225148,44001.776633168745,488986.61729838967
127,sUSDC,arbitrum,susds_susdc,,,,,,,0.842204262049027,1.4902192379005803,191.71061946948808,321.68220603744214,546.9471404949085,1308.8881850373498,1734.9126090688098,786.4253170020941,937.5983980097055,1294.5463104570679,757.2641996945365,729.2157637222786,948.8802550831264,905.7358255231177,743.4304349581338,11209.569688058009
127,sUSDC,base,susds_susdc,,,,,,,0.09838765906806576,20.56793132129256,91.18630049702804,127.92268115593679,176.1864907450466,90.76444499870355,59.650675084261096,63.79734233709229,63.119820037303406,66.8155928956553,44.332546964147035,206.24413598503986,315.74943885893504,279.8496148676538,205.00971020273008,1811.2951136098934
127,sUSDC,ethereum,susds_susdc,,,,,,,0.0004332623760826599,0.8400343778507112,185.82808167447558,840.4827416042909,3266.4447699362495,2432.287800292277,1508.4950369256578,1326.0446270741609,938.3115557124698,710.9630773004677,591.971925803493,623.275213506078,775.8053390413138,383.780126458594,766.1228482185556,14350.653611188312
127,sUSDC,optimism,susds_susdc,,,,,,,,,,204.52911354814367,125.70784844961739,6.242705491641368,9.383917436510652,8.773244811115687,118.68323499597331,4910.075319776933,6144.263777393865,5020.578057176516,3364.462088436013,2039.4141906634554,108.56482370989053,22060.678321889674
127,sUSDC,unichain,susds_susdc,,,,,,,,,,5303.568183398563,12718.281350134612,10105.416282806107,2483.85508774579,1503.1773176831778,745.4872770944045,158.36952095548082,43.71817476104361,8.798726262613101,5.62326210600779,4.577506949898829,1.4628722361978435,33082.33556213389
128,spETH,ethereum,sp,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
128,spPYUSD,ethereum,sp,,,,,,,,,,,,,,,,7.1520391714906655,37.63970015068171,28.82185642072108,66.14825288914628,156.43827860146814,147.093285864086,443.2934130975939
128,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,0,0,38970.85004597621,18301.421135154,12648.190590432523,16500.988172386868,6525.998724155749,3320.0680586166545,96267.516726722
128,spUSDC,ethereum,sp,,,,,,,,,,,,,,7607.236501967833,52909.03030412791,101599.70398783984,28594.499631965053,30187.540328493,59593.74533924207,64065.15803967865,106638.96055559107,451195.87468890543
128,spUSDT,ethereum,sp,,,,,,,,,,,,,,6671.499850103087,35412.78173871799,60391.37925369181,26236.94646923012,36355.43210240577,58753.237470020336,116887.73721861334,171768.11380974218,512477.1279125246
128,sUSDC,arbitrum,susds_susdc,,,,,,,1280.2025425394659,3393.107481532867,5094.781628519369,8477.639515718716,6854.536877674901,10790.644592377721,15971.189784778373,27577.803228740057,27086.315594139844,35827.57896155703,40809.9851254278,44149.04596446277,54221.23350242981,50245.678584799665,51283.74899821934,383063.4923829177
128,sUSDC,base,susds_susdc,,,,,,,760.0621935077802,3274.582796960346,6161.843941140462,6074.126240473552,5609.86351171325,3270.6460892262107,3613.401303187095,2905.2788140139755,3627.0565062235187,4190.110027074136,3764.1906095444506,3139.688869690097,3938.66019221053,5116.213293866994,4090.3626662902684,59536.08705512267
128,sUSDC,ethereum,susds_susdc,,,,,,,5384.591074160917,30437.856558747393,124877.35449738917,162063.15029020963,128540.46796777411,149413.87537818323,177208.57997302306,346934.24670545827,597513.8396230681,603740.756690393,252256.53858694813,85313.68437223426,66158.46107623463,32607.4998639099,26450.532380486868,2788901.4350382206
128,sUSDC,optimism,susds_susdc,,,,,,,,,,21774.093652881285,10156.305880735708,16886.927165709145,30174.84780892158,26772.80621772226,33253.06526656915,42925.90712721899,24259.682598424704,9932.38930466478,5244.7748396080215,3963.0377022232688,2707.230492961549,228051.0680576404
128,sUSDC,unichain,susds_susdc,,,,,,,,,,1573.4364171230577,1431.4618822952123,6299.070675561157,12663.49282704653,11286.596860513955,4821.155858965774,2611.859939638652,1225.949505450008,589.0313924125679,263.56531018040005,141.24251465997972,79.35172495467779,42986.214908801965
128,sUSDS,arbitrum,psm3_arbitrum,,,,,,,2772.420263610571,3685.606488393506,3539.2903056489868,1346.364672083608,1115.7322929161696,1085.4016704948895,688.2312833084052,739.6225083642164,962.3234551695066,928.4687905841382,568.8775216822685,536.1771700329366,1333.4379297884925,2686.937391176819,2729.1226680546156,24718.01441130913
128,sUSDS,base,psm3_base,,,55.894288322936504,1004.6069104416249,4588.381759100739,13692.307203797456,12214.74885009366,8802.129236196191,7721.852756532582,6912.1736404025605,5312.915639337095,1846.032765577614,1500.8680996030898,1083.7149802429565,1081.0473172353322,1082.0354014987981,780.3112161041242,711.0427597456421,1520.5706796051709,2168.753727266905,2041.0034398192076,74120.39067092368
128,sUSDS,ethereum,susds_susdc,,176.86743261267304,11632.173071984387,13066.470338732546,60449.92640342415,135552.95365159487,197817.34882071236,100948.9103086474,213689.15057012695,177658.26674855774,105113.09680328058,111990.30326962408,128325.94413662472,174974.6123491117,194671.16530477052,218929.38306061213,357591.982115376,485628.2923112281,767449.5173868914,789006.7472549196,738577.4604376758,4983250.571776507
128,sUSDS,optimism,psm3_optimism,,,,,,,,,,1.1409756363333834,0.9713824220881258,1.3570339576797772,1.423898870724137,1.2050165971087134,8.628375329852512,12.112674279415138,566.3085890851019,751.7020346291656,1163.681744058268,1139.208320476198,1393.4833243736518,5041.223369715587
128,sUSDS,unichain,psm3_unichain,,,,,,,,,,2.308920795789225,1043.3222960881492,0.37493706051508535,0.3554678649554145,0.31365056159569527,0.2698938342190689,0.2735701819479774,1.7547050955747867,3.152499312462071,3.3122819650094963,3.1039880810387848,3.206312077104972,1061.748522918362
128,USDS-CLE,ethereum,farms,,,6.722661370795936,628.8560548208873,1401.7409901227338,1215.0861787721126,1841.8882016263642,3236.737656454107,4295.821187207608,5271.620563464081,4869.442311573244,4128.2147658197455,5867.684963656161,7081.253195360273,5762.127213468534,8552.412126939216,6597.992371524791,4966.638171624745,3409.0875138385495,2642.9321515761326,2314.200304585357,74090.45858380543
