ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
200,,,,,,,,,,,,,,,,,1.9610335432249326,0.6466411141232845,5.788322679528409,32.58946725845672,91.59554932560816,78.152115562187,210.73312948312847
202,,,,,,,,,,,,,,,,47.29671777536593,28.536983405348764,32.88620416553091,42.56112964749857,39.745783948995204,33.265452566780546,9.296705875771812,233.58897738529168
204,,,,,,,,,,,,,,,,,,1.6073742117298129,16.907435580662913,34.036404758736886,30.4319578929937,2.9467231225957775,85.92989556671907
205,,,,,,,,,,,,,,,,,0.0007698377713443927,0.01863287880823028,0.19759145598919042,0.20575776647335367,0.21277114263124927,0.06094775911340716,0.6964708407867752
206,,,,,,,,,,,,,,,,,,,,,0.00021236245405216697,0.00003291225946000021,0.0002452747135121672
214,,,,,,,,,,,,,,,,,,,,,0.000012881933480724265,0.0002886277388244048,0.0003015096723051291
216,,,,,,,,,,,,,,,,,,,86.77235852540308,151.20514360841003,189.03777880567444,15.052893827991891,442.06817476747943
219,,,,,,,,,,,,,,,,,,,,14.263484409268683,,,14.263484409268683
223,,,,,,,,,,,,,,,,,,,,,0.0012551698087321908,0.0006296014324727603,0.0018847712412049511
224,,,,,,,,,,,,,,,,,,,,,4582.17153538815,1473.0873914846093,6055.25892687276
303,,0.0010247124488725707,1.6681789862046594,41.47123960160111,0.0020797608237225896,0.0018952912675808346,0.002110391957258707,0.002050754083659071,0.002126922015141678,0.0020658966384577275,0.002142626128978585,0.002150829099776299,0.002089532193330422,0.002167567154091811,0.0021054879009143393,0.0021834072928839402,0.0018265284442567462,0.0016550052580214974,0.0018380431961377704,0.00178423771837367,0.0018492787394603786,0.00017925772430287201,43.174744117890995
555,,,,,,,,,,,,,,,,,0.0016204712276044748,0.0015399913652621262,0.0017103091590263695,0.001660242870258457,0.001720763893001977,0.00016680028431630275,0.008418578799469707
1001,601.9956704194109,23665.920839333066,22202.24129172719,15735.355956831816,14903.49832171031,12301.40626012532,9930.992115732992,5867.0646125028525,6458.246457987758,4328.797951944844,4058.9508454095094,4896.843774810841,4394.144888907976,3245.2864892760117,5020.717560399587,5243.329696566341,2254.8042478029097,1601.4380188213136,1655.485190324151,1433.943965517382,912.5698873108522,84.02058491769301,150797.0546283801
1002,,807.7497044239033,1274.1166454612226,1626.3987777487591,2497.3436619485974,4109.587053783232,5339.6545033319,5721.838650576309,2993.7561204402105,2727.608523409539,2883.6184843929327,4516.939899632684,4506.6044474299515,4572.314174590904,3049.899285924498,2398.798801655434,1969.5086009973402,2970.50957562373,29195.527856307137,28955.218625819365,33175.15316187183,4520.468774160516,149812.61532952997
1004,,,,3.8208754514062117e-16,,,8.731818303236441e-20,13.932318091609295,46.22349373363035,3.0094941736435215,1.1500036523032449,0.23041295295496128,0.2210823288495172,0.02596325090444773,0.015420401989773786,0.015991076291902082,0.005358918340321029,0.004855680215835771,0.005392701890304129,0.005234840039006624,0.005425666260117457,0.000525930767418808,64.85097339968999
1007,,899.04910480087,2845.034683217761,2651.2709262171447,3270.1993101177177,2063.6739510533725,3835.8301775281043,7167.6872837096225,7788.974460549155,17448.864226253358,21831.55850405262,21434.927531219557,13029.718602506162,12194.459878238078,4714.043600065007,8270.66814224848,10082.509231202832,13745.062906834271,15859.42842851465,14112.16519209712,10762.388445120383,0.04490237432755676,194007.55948792057
1015,,,,,7.058758855491913,43.30769383460287,39.54908514910597,0.000014912489860248833,0.000015466361002069916,0.000015022602133920537,0.000015580556770457328,0.000015640206398767014,0.000015194473044815669,0.00001576192068291706,0.00001531049833007743,0.000015877105585390156,0.000013281985939452615,0.00001203471899705702,0.000013365717880808872,0.00001297446002694111,0.000013447419498378656,0.0000013035102635359492,89.91574301322717
1016,,,,,,,,,0.0034430531426077565,0.00006020561513788106,76.64164323675116,143.36146408206565,,,,179.02163663419003,1201.0547443054502,167.53840482715015,8.978125634163069,0.5899580312151818,,,1777.189480009743
1017,,,,,,,1.9476462936628685,33.56031002531263,71.47532133934625,79.35668125759548,107.9063826474314,24.59027712500729,23.889967639652976,40.90669196266345,183.07986854212444,497.77125094607425,214.3872463271476,140.32422150467312,148.083783360672,85.97520340758965,3.510228651324415,0.3508910202112902,1657.115972050489
2000,,,,,,,,,,,,,,,,,,,,0.0000022340667242077928,0.00000424958335704858,4.119285132982023e-7,0.000006895578594554575
2001,,,,,,,,,,,,,,,,,,0.00010802955292476468,0.0016246835496007124,82.24301693728248,8467.993529947318,2244.9419848879843,10795.180264485687
2002,,,,,,,,,,,,,,,,,,,174574.27559348382,116737.37465030173,1.707499286978157e-8,0.0000020136747564763965,291311.65024581633
2003,,,,,,,,,,,,,,,,,,,,6.654607696408873e-15,1.3723607554654149e-8,3.748533677173345e-15,1.3723617957795523e-8
2005,,,,,,,,,,,,,,,,,,,17144.96836066166,8259.87631199609,,,25404.84467265775
2008,,,,,,,,,,,,,,,,,,,,,12035.781376578725,3442.666230898438,15478.447607477163
2222,,,,,,,,,,,,,,,,,,,,10.677765476597338,14.746531904549192,,25.42429738114653
3000,,,,,,,,,,,,,,,,,,,,0.00014260407450345815,0.002026059649954529,0.0005416945365127478,0.0027103582609707354
3001,,,,,,,,,,,,,,,,,,,,,,0.00004182875350593543,0.00004182875350593543
3333,,,,,,,,,0.0000010258583307678468,0.0000727891168332057,0.0001287634033555563,0.0009907996030802289,0.0015630513725825132,0.0016557466128152769,0.0016089135115905614,0.0018659129187306187,0.002022064632469795,0.0018466614646512687,0.0034108296152263896,0.003428256033550463,0.004036893874003216,0.0005513898547066836,0.023183097871926545
4011,,,,,,,,,,,,,,,,,,,,,0.007311948886059997,2.2380644050674736e-14,0.007311948886082377
4012,,,,,,,,,,,,,,,,,,,,,0.00010305554076857983,0.000047545868074677976,0.0001506014088432578
13425,,0.17582019577406588,0.17612244276748404,0.18339136094812625,0.18522332770933797,0.16879448422892152,0.18795133393983976,0.1826399898277502,0.10053245235369479,0.00018890724425342064,0.00019592345035852624,0.0001966735365822224,0.00019106849833277982,0.00019820407768289823,370.4029071189835,1029.0976121782262,858.0071164334407,774.9741701607505,858.010166875406,641.1625123631208,9.669400806708543,0.9357484921646703,4543.621080793157
