ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
1,stUSDS,,,,,,,,,,,,,,5515.856264150468,2822.8590953099074,5440.326377182755,1800.5532416249325,3037.9224699586425,2945.7939443625082,3010.982579412555,3711.5454371763753,352.485833779755,28638.325242957893
1,sUSDS,,,,0.0003645113459577506,26304.43057543552,67019.15989720437,39394.05351551152,34098.985244142474,35175.369005032066,37811.83922283666,38925.76515260422,37758.822450129635,64378.03866832457,83329.17781057008,75393.02071285968,98376.79024006442,81433.39417710142,66656.72712305193,97033.39665647427,94312.71157449586,104095.72706300333,10460.296514724929,1091957.7059680782
1,USDS-CLE,,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,810.9827762958994,79848.39643844531
1,USDS-SKY,,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,90.41178858250437,821426.9907185767
1,USDS-SPK,,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,1099.33084350513,291450.25778134086
2,sUSDS,,,,,,6.775883427292598e-20,6.7931088594102514e-15,1.3999798858109004e-14,0.000979494011254312,6.615362270430045e-13,6.401432202126199e-15,3.252891295283569e-14,3.473587409776579e-11,5.044270667952489e-20,4.864503537380469e-18,1.3221629197899138e-15,6.609852417539209e-16,4.011132847252424e-20,6.243080047028427e-16,5.479422942743827e-16,5.326649569960683e-18,2.803170101515208e-18,0.0009794940467146142
10,sUSDC,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,,1.5025358710190683e-7
99,sUSDS,6031.6454905281325,248574.07780642842,183158.7911446038,283628.19238212705,546011.5276283347,1144683.1540462368,1544664.255306584,1328485.1037915691,1167025.6295927214,1200228.8908604688,1081484.2478383686,992074.3855478774,1012994.4593576967,1307197.0499368552,1752682.572176722,2075524.6773965019,1602756.973726021,1541979.87496053,1790892.593579286,1722310.4693311136,1895178.543860671,179965.818137491,24607532.933898743
100,sUSDS,,,,,,,,,,,,,,,,,,,,,,0.00002885082138927203,0.00002885082138927203
127,sUSDC,,,,,,,0.9410251834931755,22.898184937043847,468.72500164099176,6798.184925744377,16833.567599760438,13943.599418626078,5796.29732626103,3688.2178489076405,2803.2072138581343,7140.769821385605,3037.146912383207,2639.1782757981478,2167.438574353714,1447.5003073206615,730.9256711225873,95.50318091866816,67614.10128820181
128,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
128,spPYUSD,,,,,,,,,,,,,,,,6.533181664016495,33.97722562514581,20.750920092824202,48.44183996931272,83.10913426840112,7.790877594918293,0,200.60317921461865
128,spUSDC,,,,,,,,,,,,,,7607.236501967832,52909.03030412794,140570.55403381606,46895.92076711907,42835.73091892553,76094.733511629,70591.15676383447,109959.02862159653,13555.253022286483,561018.644445303
128,spUSDT,,,,,,,,,,,,,,5999.001048556162,31855.138566269943,55603.63858222822,24634.67532385997,35006.49732809446,57492.18934730271,115531.21928711925,169984.19187533035,48641.07423354046,544747.6255923016
128,sUSDC,,,,,,,7424.855810208161,37105.54683724061,136133.980067049,199962.4461675532,152592.63848987856,186661.1639010575,239631.5171767003,415476.7318264486,666301.4328489664,689296.2127458819,129118.98170002409,57334.98989087193,52008.19266514658,36884.44254072292,33895.00872855295,3196.460809238948,3043024.602205542
128,sUSDS,,176.86743261267304,11688.06736030732,14071.077249174174,65038.308162524896,149245.26085539232,212804.5179351998,113436.64603296571,224950.29363041438,185920.25495747605,112586.0378021973,114923.46853121366,130516.82288628147,176799.46850487753,196723.43382460583,220952.27349715645,359509.23414734297,487630.3667749484,771470.5200223083,795004.7506819203,744744.2761820001,93250.76863090215,5181442.715101825
128,USDS-CLE,,,6.722661370795936,628.8560548208873,1401.7409901227338,1215.0861787721126,1841.8882016263642,3236.737656454107,4295.821187207608,5271.620563464081,4869.442311573244,4128.2147658197455,5867.684963656161,7081.253195360273,5762.127213468534,8552.412126939216,6597.992371524791,4966.638171624745,3409.0875138385495,2642.9321515761326,2314.200304585357,217.40677977372764,74307.86536357916
128,USDS-SKY,,,369.46396759542154,40671.55539960491,36788.27818245504,51210.9171091269,66570.78717984898,109613.55538433875,61050.37391833408,66019.36284585253,56042.52493422946,44829.794374316545,43343.62328143249,24647.023245331457,25541.549726128836,38222.924405792386,24672.195922511175,3387.1205025728855,2561.8841931601246,1853.8637651654742,221.3950610083518,19.88182498393593,697638.0752237897
128,USDS-SPK,,,,,,,,,,399.9568656996654,271238.73652511666,609129.4596097498,548848.4853684689,421245.2309106294,330450.44027419447,286198.6848417126,235384.72552140642,206409.470236647,236624.40877949487,299366.49013705325,400011.94627833035,32610.009800979766,3877918.0451494833
