Jan,code,dr,Feb,code,dr,Mar,code,dr,Apr,code,dr,May,code,dr
sUSDC,205,0.0005956328633,sUSDC,200,0.1329992977,stUSDS,197,5576.135189,sUSDC,196,0.246395138,sUSDC,195,1234.250777
USDS-SKY,303,0,sUSDC,200,0.0001232387416,sUSDS,2,0,stUSDS,197,8509.002175,sUSDC,196,0.1019855591
sUSDS,303,0.001828702919,sUSDS,2001,0.0001081581866,sUSDS,2,0,sUSDS,2,0,stUSDS,197,10730.03947
sUSDS,3333,0.7124137561,sUSDS,2003,0,sUSDC,200,0.139065153,sUSDS,2,0,sUSDS,2,0
sUSDS,3333,0.002024471893,sUSDC,204,0.1757671607,sUSDC,200,0.0002046789171,sUSDS,200,0.001340408662,sUSDS,2,0
sUSDC,555,0.004049953968,sUSDC,204,0.2166859195,sUSDS,2001,0.00162661766,sUSDC,200,0,sUSDS,200,0
sUSDS,9E+19,0.05864801324,sUSDS,204,0.0003885704686,sUSDS,2002,174782.113,sUSDC,200,0.00008734292491,sUSDC,200,0
sUSDS,99,87519.75111,sUSDC,204,0.0000329891093,sUSDS,2003,0,sUSDS,200,0.000000005700508247,sUSDC,200,0.00003724291783
sUSDS,99,29456.9582,sUSDS,204,0.0000144085034,sUSDS,2005,17165.38004,sUSDC,200,0.000000005383810822,sUSDS,200,0.003745773027
sUSDS,99,42322.35795,sUSDC,204,3.623765934,sUSDC,204,0.000496249356,sUSDS,200,0.00000001003925481,sUSDS,200,0
USDS-CHRONICLE,99,209466.3109,sUSDS,205,0.000009941083499,sUSDC,204,0.3004078631,sUSDS,200,0.000000002850247894,sUSDS,200,0
sUSDS,99,42953.16715,sUSDC,205,0.02433195657,sUSDC,204,33.86211798,sUSDS,2000,0.000002236726893,sUSDS,200,0
stUSDS,99,12827.65042,sUSDS,303,0.001656975648,sUSDS,204,0.0001198310709,sUSDS,2001,82.34094224,sUSDC,200,0
sUSDS,99,1402412.745,USDS-SKY,303,0,sUSDC,204,0.3935809192,sUSDS,2002,116876.3601,sUSDS,2000,0.000004254642716
USDS-SKY,99,8037.155755,sUSDS,3333,0.4088726231,sUSDS,204,0,sUSDS,2003,0,sUSDS,2001,8478.076706
sUSDS,9998,0.0008889456081,sUSDS,3333,0.001848860034,sUSDS,205,0.00003056151273,sUSDS,2005,8269.710659,sUSDS,2002,0.000000004326071931
Spark Treasury,,101229.643,sUSDC,555,0.003848815307,sUSDC,205,0,sUSDC,204,0.400141884,stUSDS,2002,0.00000001361373944
Obex Treasury,,69952.55967,sUSDS,9E+19,0.01028157269,sUSDC,216,216.8653303,sUSDS,204,0.01444826383,sUSDS,2003,0.00000001373990474
Core-Council-Executor-Agent-1 Treasury,,66621.4854,stUSDS,99,14693.37838,sUSDS,2222,0,sUSDC,204,0.0004405062548,sUSDS,2005,0
Grove Treasury,,5970.993933,sUSDS,99,1274588.035,sUSDS,303,0.001840231281,sUSDS,204,0,sUSDS,2008,12050.1127
,,,sUSDS,99,79257.41432,USDS-SKY,303,0,sUSDC,204,73.05318274,sUSDS,204,0
,,,sUSDS,99,88985.32317,sUSDS,3333,0.003414889844,sUSDS,204,0.0005033860734,sUSDC,204,0.0001688462114
,,,sUSDS,99,38899.6993,sUSDS,3333,0.481456028,sUSDC,204,0.2120730406,sUSDS,204,0.01848110614
,,,sUSDS,99,62085.22546,sUSDC,555,0.004274480094,sUSDC,205,0,sUSDS,204,0.0005314150706
,,,USDS-CHRONICLE,99,154168.9373,sUSDS,9E+19,0.00459194745,sUSDC,206,0,sUSDC,204,0.1001694238
,,,USDS-SKY,99,4576.346663,stUSDS,99,8380.046055,sUSDC,206,0,sUSDC,204,0.03503015957
,,,sUSDS,9998,0.001807811402,sUSDS,99,1494304.78,sUSDC,206,0,sUSDC,204,30.29597478
,,,Obex Treasury,,64438.51699,sUSDS,99,76604.38492,sUSDC,216,377.8986786,sUSDC,205,0
,,,Spark Treasury,,108959.7316,sUSDS,99,86574.34205,sUSDS,219,14.28046685,sUSDC,206,0
,,,Grove Treasury,,5520.629468,sUSDS,99,91943.73094,sUSDS,2222,10.69047946,sUSDC,206,0
,,,Skybase Treasury,,28385.33201,sUSDS,99,43597.28773,sUSDS,3000,0.000002071732548,sUSDC,206,0.0002123618783
,,,Core-Council-Executor-Agent-1 Treasury,,60174.24488,USDS-SKY,99,4476.731709,sUSDS,3000,0.00003640331539,sUSDC,216,189.0372641
,,,,,,USDS-CHRONICLE,99,157931.5886,sUSDS,3000,0.000104298891,sUSDS,2222,14.7640885
,,,,,,sUSDS,9998,0.0009202955606,sUSDS,303,0.001786362145,sUSDS,224,4190.157636
,,,,,,Osero Treasury,,1158.082891,USDS-SKY,303,0,USDS-SPK,224,397.4697899
,,,,,,Grove Treasury,,5975.71327,sUSDS,3333,0.4851510541,sUSDS,3000,0.0004248842468
,,,,,,Spark Treasury,,116884.7637,sUSDS,3333,0.003432337806,sUSDS,3000,0.0009385532852
,,,,,,Core-Council-Executor-Agent-1 Treasury,,63677.22025,sUSDS,4011,0,sUSDS,3000,0.0006650342144
,,,,,,Amatsu Treasury,,2895.207228,sUSDC,555,0.004149353478,sUSDS,3001,0.00000002662839887
,,,,,,Obex Treasury,,68492.00292,sUSDS,9E+19,0.003862681953,sUSDS,303,0.001851480406
,,,,,,Ozone Treasury,,2895.207228,USDS-SKY,99,3638.707628,USDS-SKY,303,0
,,,,,,Skybase Treasury,,31862.13472,sUSDS,99,1433383.056,sUSDS,3333,0.4814431191
,,,,,,Keel Treasury,,1158.082891,sUSDS,99,82604.65199,sUSDS,3333,0.004041700023
,,,,,,,,,sUSDS,99,89220.1263,sUSDS,4011,0.007320654245
,,,,,,,,,sUSDS,99,42436.79909,sUSDC,4012,0
,,,,,,,,,sUSDS,99,76716.5207,sUSDC,555,0.001720759149
,,,,,,,,,USDS-CHRONICLE,99,142994.3611,sUSDS,9E+19,0.004004629142
,,,,,,,,,stUSDS,99,3403.777611,sUSDS,99,87527.73103
,,,,,,,,,sUSDS,9998,0.0006922782802,sUSDS,99,93640.6708
,,,,,,,,,Osero Treasury,,30035.51026,stUSDS,99,3088.529483
,,,,,,,,,Core-Council-Executor-Agent-1 Treasury,,60071.02052,sUSDS,99,82712.56635
,,,,,,,,,Spark Treasury,,109425.7568,USDS-CHRONICLE,99,158716.8192
,,,,,,,,,Obex Treasury,,64838.19983,sUSDS,99,1589499.716
,,,,,,,,,Skybase Treasury,,30721.19335,USDS-SKY,99,3721.779809
,,,,,,,,,Keel Treasury,,30045.65235,sUSDS,99,44054.16313
,,,,,,,,,Grove Treasury,,41756.28726,sUSDS,9998,0.0002561263489
,,,,,,,,,Amatsu Treasury,,75088.77565,Spark Treasury,,118591.661
,,,,,,,,,Ozone Treasury,,75088.77565,Ozone Treasury,,80183.42471
,,,,,,,,,,,,Skybase Treasury,,33872.56387
,,,,,,,,,,,,Amatsu Treasury,,80183.42471
,,,,,,,,,,,,Obex Treasury,,69573.06667
,,,,,,,,,,,,Grove Treasury,,72008.76678
,,,,,,,,,,,,Keel Treasury,,32282.00452
,,,,,,,,,,,,Launch-Agent-6 Treasury,,32073.36988
,,,,,,,,,,,,Core-Council-Executor-Agent-1 Treasury,,64146.73977
