"Referral Code","Partner Name","Wallet Address","Prime Agent","Token","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026","Apr 2026","Total"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","76.9","146.7","2,428.9","3,114.5","808.5","2,773.5","3,276.4","2,988","3,971.3","44,758","64,342.6"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","39.8","234.2","200.4","184.9","320.3","209.8","532.6","287.7","2,009.8"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","SKY Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119.5","1,201.1","167.5","9","0.1","1,497.2"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","Legacy SKY+CLE","0","0","0","0","0","515.4","729.2","263.7","31.7","23.7","0","0","0","0","0","0","0","0","0","0","1,563.6"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","Grand Total","0","0","0","0","0","515.4","729.2","263.7","31.7","23.7","76.9","146.7","2,468.7","3,348.8","1,008.9","3,077.8","4,797.8","3,365.4","4,512.9","45,045.9","69,413.2"
"1017","-","-","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","3.3","2.3","2.2","2.3","2.2","2.3","1.1","0","0","0","15.8"
"1017","-","-","-","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","101.9","16.4","16","27.3","122","332.3","535.1","350","369.3","214.5","2,084.7"
"1017","-","-","-","spUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.2","0.2","0.1","0.5"
"1017","-","-","-","spUSDT Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.1"
"1017","-","-","-","Grand Total","0","0","0","0","0","0","0","0","0","0","105.1","18.7","18.2","29.6","124.3","334.6","536.3","350.2","369.5","214.6","2,101.1"
"2001","-","-","Grove","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.1","82.1"
"2001","-","-","Grove","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.1","82.1"
"2002","-","-","Grove","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174,513","116,671.3","291,184.3"
"2002","-","-","Grove","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174,513","116,671.3","291,184.3"
"2005","-","-","Grove","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,129.9","8,255.3","25,385.2"
