ref_code,token,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,total
2002,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174574.27559348385,116737.37465030182,3.573038039092102e-09,3.4680602503654283e-09,1.995208499192483e-09,1.4441103491211899e-09,291311.6502437962
1002,sUSDS,0.0,807.5958288356111,1255.4545788614716,1126.5717760170342,2491.3924521446315,1878.0177553712144,2211.899749664855,1660.8358635768136,1932.342118423113,2340.3828623952018,2873.745672303,4481.3161437833005,4504.391127187302,4570.010424431706,3047.437156898325,2396.5082700948165,1967.5988770266629,2968.7846636502154,29193.370606192297,28944.498418091065,33173.24177375632,38551.77458072775,20494.60702569584,13458.318301574349,206330.0960267029
4001,USDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11499.795032775548,33962.99398518113,28500.23359026769,25181.35989069196,29061.485806168872,23261.2716647824,22648.40488910128,19688.270811500584,4107.613818085293,1523.1923325973569,199434.6218211521
183,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055783060017811,0.4447425575364484,7044.161386257441,18451.035859844287,17635.191003088406,17336.56273064542,20843.09252984991,24105.19436992559,21333.384118292208,13278.929767896734,11113.764428103525,9912.9679248368,11847.596192241095,8767.664182055745,4452.015105137724,3686.166565182914,189808.17648422133
0,sUSDS,472.2880154491336,8128.412628040729,9481.584460882188,11403.366747674694,30370.33192348101,15718.85356955648,5426.408538662029,4854.184266013121,4427.080617875751,3763.022507418088,3370.2804722369306,2745.1791005316672,2553.186819307763,2371.2345111208306,1684.779797365637,1710.0469888584491,1151.1195951165948,684.990128280433,2815.771925170584,9239.057083180563,14171.755184173166,6828.975890167876,2305.1362307345566,1588.6311443123773,147265.67814561067
-999999,stUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18189.70775590551,38392.691127747945,34483.22990336034,2567.498843936495,2940.973591114515,8379.943235092931,3403.7477577220566,3088.4834466001043,2931.319815238268,3101.562905439575,2785.8159717168974,120264.97435387466
197,stUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16159.545842414656,17563.940935724222,17503.738662265496,6824.987655591928,6314.14970695117,5576.068892074833,8508.930721916859,10729.876247816592,8925.19938989209,9664.013652588652,11231.95461255388,119002.40631979039
191,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146.166128028695,1238.8487513809762,5514.674890687888,8197.761337770486,11307.88327657582,22118.93964056115,22715.15522220322,23519.34183590616,20007.163807892717,116765.93489100711
1,USDS-CLE,0.0,0.0,0.0,0.0,46.59510060761275,706.7903577216374,3579.558995496219,4302.1424837960685,5162.98946754946,5320.316723974895,4189.404510499302,4210.472153134069,2881.146774974636,6856.119280847898,6485.803069235147,5954.684275045505,5139.569418021428,4193.825801997757,6259.944050521854,5552.854341944114,8195.196856781844,7045.931579646939,3248.211598548951,2465.6868320761373,91797.24367242146
127,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.9410251834931753,22.898184937043847,468.72500164099176,6798.184925744377,16833.567599760434,13943.599418626076,5796.297326261025,3688.217848907637,2803.2046305730973,7140.769821385595,7581.550624617081,6588.111896652522,5410.520383525395,3613.3572644627197,1824.590689325508,5924.8669766959865,2653.179014562597,369.9224138951555,91462.50504675673
1007,USDS-SKY,0.0,899.04910480087,2845.0346832177606,2651.2709262171443,3270.1993101177186,2063.673951053372,3835.8301775281047,7167.687283709623,7788.974460549154,17009.94767724003,11459.498213082448,5825.295281274688,3092.011012027047,1258.2885492999576,1106.3916103555505,3550.059439215305,4114.426764723389,2601.327043413359,98.97080055441656,2.736057282538434,0.4952005891537387,0.4490237432755676,0.2576458192957115,0.1858735124821318,80642.0600893267
-999999,USDS-CLE,1723.692020252446,9340.45841169225,8895.985037401833,6963.367239195586,6361.505496770977,4467.282890074432,4218.210859257117,3861.685888545296,3898.76243651314,3475.1182448849345,3432.9904343045314,3003.4071595807677,993.1211996278436,1837.3868721759748,2071.640113839355,3043.5559059463835,3577.671967725464,2132.665476014648,1631.1025462245536,1235.5299872811368,893.9614049883402,731.8733595275274,332.145957662052,203.68899274045984,78326.80990222705
128,USDS-CLE,0.0,0.0,6.722661370795936,628.8560548208872,1401.7409901227334,1215.086178772113,1841.8882016263665,3236.737656454111,4295.821187207624,5271.620563464093,4869.442311573267,4128.214765819761,5867.68496365618,7081.253195360299,5762.127213468559,8552.412126939242,6597.992371524815,4966.638171624769,3409.087513838566,2642.932151576144,2314.2003045853626,2052.7923999529944,1092.8415607083011,652.4289999718135,77888.5215444388
2008,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12035.78137657872,33511.04148847892,17489.63626815923,10886.821628989128,73923.280762206
1001,USDS-SKY,506.19933716170937,20601.776242138178,14895.28763199895,6050.851426438129,2919.5999193482626,1620.303553339232,1393.1594143820623,2021.8576876013112,2346.0094111927565,1917.9245730523485,1811.172946575179,2788.3814089954844,2475.032359982005,1353.1983901075664,3485.196918295788,3955.47083572263,1291.0061823694978,810.0991426370302,811.8272807307619,624.4763085352918,77.3364647179617,63.36842156058193,15.306633391776568,5.6729213874157445,73840.51541166191
-999999,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.2250906234949,25651.73809508012,25559.71265035364,13171.135908265447,4351.436152677302,1463.1243687486558,643.1814057557209,445.26837818831183,208.5922308892758,351.4855199287976,397.73319432184826,172.4847175542089,121.17341196154143,43.45984423176586,28.87919557782437,72791.63016415795
1001,sUSDS,89.14237483935457,2900.577229412233,7092.596771291363,9406.192104460111,11674.4295665012,9750.021033044412,6110.376840399643,3480.4279211150774,3748.097104692651,2082.309334414224,1909.812449115641,1734.505124372024,1519.7275451306125,1426.5518565455518,1293.6081534121804,1172.0421176153286,876.50457859825,747.4718750714136,795.1737336840521,763.0786765492209,787.3766333979717,702.4650173574214,386.628667628612,280.4637214254899,70729.58043007404
1007,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9730.507068834768,15421.475084265056,9186.82408705862,8494.290257053635,2745.3977955846995,2841.0698412168517,4375.433402403488,3023.763038076548,4628.610029240478,5225.033275171423,1445.042201719432,0.0,0.0,0.0,67117.446080625
188,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001783336919518,0.0002315347902705,3610.2056950289775,39302.26167016367,21646.81901870906,542.8891354775254,65102.175929247715
188,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.608903390234,16471.817697438262,16943.148602180314,7109.814720105463,3055.578991801472,1186.54009108743,270.23715633971824,3530.3218188940973,6054.86960059482,944.1130087921326,609.3150279780675,332.46251835623366,240.48804655123303,63032.31618350948
188,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5889.436200565305,12300.613915914826,7694.248891429038,10930.812273128802,7190.481435481101,4481.901172809806,48487.49388932888
190,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21225.86883215582,10282.55469592626,5236.374805331465,4043.2850919580796,2760.8332165166394,2649.7470075294923,1374.558729783835,294.2686456750341,331.8301055359238,48199.32113041254
1007,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.91654901332527,641.5532221354046,188.1571656798052,750.8835034204911,2441.8810718844834,862.2541941247569,1879.538861816323,1592.6490640759569,8119.972825344363,11131.847598719756,8884.395859643158,9316.851042811795,0.0,0.0,0.0,46248.90095866962
195,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.1961056846184,3175.459194952093,8105.6148375289185,7915.428521960411,3879.9434461548944,1671.2194229595505,7613.53703214974,4968.323671764016,3082.9143029581537,835.1288408728477,539.5533509678133,221.8996685784046,42965.21839653146
0,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4629.587340101208,9198.946928852854,15869.171846383917,6073.49080777259,3854.254322295849,2227.332929275956,44.734857858698746,35.700642793391474,31.872545359592785,34.76622663549264,29.802220282076046,23.7296720843969,17.093291250897327,9.716130473342613,6.990716983974637,42087.190478404234
2001,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001080295529247,0.0016246835496007,82.24301693728246,8467.99352994732,21945.285982153167,8574.042295045127,2640.2249448703437,41709.79150166635
0,USDS-SKY,4.401314091599465,11.20373700480873,0.0,2.4625031095031336e-06,3524.6171423948526,3972.354163381989,4539.83496542037,5560.125177195898,5410.969680679666,6411.146737140765,2890.874700574074,1773.404118557066,3141.946773080427,2492.176956064977,400.4046545030595,112.58876518670368,93.8707458212155,84.77651254934602,4.305060941002722,0.210514239737068,0.2183282791814815,0.2112854314659498,0.1182139971765678,0.0848653516146049,40429.8444143495
1004,sUSDS,0.0,0.0,0.0322926319932939,522.5669524273511,1247.799401598592,1444.6180795212215,1754.3513075988906,2845.7489451371584,2087.1101057148667,2009.525955868373,3560.8969508766745,1961.3726300082585,2407.6054634324178,991.661240871108,1540.3776603997917,3160.4675981231394,3343.442120114896,1098.679455469038,1201.7933092228436,1746.8081306368847,2744.467536190416,1723.441706189298,697.4579826616948,285.4206027147376,38375.64542740965
1,stUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5515.8562641504695,2822.8590953099074,5440.326377182755,1800.5532416249337,3037.922469958643,2945.7939443625096,3010.982579412556,3711.545437176376,3042.0470361461453,2787.096635939073,3008.3182630335355,37123.30134429691
131,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002120241540066,0.3292901557550842,1544.8852466584203,2533.881546392776,801.173241212727,4314.493506994891,4674.3305176641015,3911.674586618619,3547.804258730563,4276.767838620755,4014.1118205393614,29619.45206561212
130,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009179100626074,12.839958648873226,319.2808534108773,284.56504668520626,263.830960323499,6315.989212986158,4736.493484507669,4041.56891910306,3451.9035246078965,3407.993431061834,3325.471059991229,26159.937369236366
2005,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17144.96836066166,8259.87631199609,0.0,0.0,0.0,0.0,25404.84467265775
224,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4185.174239133085,10955.860171172906,5942.257448930829,2230.835018413487,23314.126877650306
