month,blockchain,token,ref_code,dr_usd,source
2025-02-01,ethereum,sUSDS,1003,35678.96909762169,susds_susdc
2025-02-01,ethereum,sUSDS,1004,1444.6180795212215,susds_susdc
2025-02-01,ethereum,sUSDS,1015,43.30769383460287,susds_susdc
2025-02-01,ethereum,sUSDS,13425,0.1687944842289215,susds_susdc
2025-03-01,arbitrum,sUSDC,127,0.842204262049027,susds_susdc
2025-03-01,arbitrum,sUSDC,128,1280.202542539466,susds_susdc
2025-03-01,arbitrum,sUSDS,1,535.9419288652738,psm3
2025-03-01,arbitrum,sUSDS,2,5.584834287816193e-20,psm3
2025-03-01,arbitrum,sUSDS,99,46258.95139092278,psm3
2025-03-01,arbitrum,sUSDS,128,2772.4202636105715,psm3
2025-03-01,arbitrum,sUSDS,10000,135.302884833431,psm3
2025-03-01,arbitrum,sUSDS,10001,1281.0447468015143,psm3
2025-03-01,base,sUSDC,127,0.0983876590680657,susds_susdc
2025-03-01,base,sUSDC,128,760.0621935077801,susds_susdc
2025-03-01,base,sUSDC,1017,1.9467889371851848,susds_susdc
2025-03-01,base,sUSDS,1,1855.6145137912679,psm3
2025-03-01,base,sUSDS,2,1.40580310939133e-24,psm3
2025-03-01,base,sUSDS,99,79150.13848131127,psm3
2025-03-01,base,sUSDS,128,12214.748847031722,psm3
2025-03-01,base,sUSDS,171,0.00011751553632520498,psm3
2025-03-01,base,sUSDS,1004,6.0127630339964386e-21,psm3
2025-03-01,base,sUSDS,1015,145.04847102687773,psm3
2025-03-01,base,sUSDS,3333,0.10689030195678371,psm3
2025-03-01,base,sUSDS,10000,708.4602193788634,psm3
2025-03-01,base,sUSDS,10001,762.1073701040328,psm3
2025-03-01,ethereum,USDS,9001,193802.05247751807,usds_aave
2025-03-01,ethereum,USDS-CLE,-999999,4218.210859257117,farms
2025-03-01,ethereum,USDS-CLE,0,0.0005080705250888,farms
2025-03-01,ethereum,USDS-CLE,1,3579.558995496219,farms
2025-03-01,ethereum,USDS-CLE,128,1841.8882016263665,farms
